name,type,town,hire_rate,positive_value_1,positive_value_2,positive_value_3,negative_value_1,negative_value_2,negative_value_3,industry,website
Universal Insurance,Pharmaceutical,Guaynabo,Medium,Friendly,Professional,Organized,Complex,Pricy,Overcrowded,Real Estate,Null
Burger King,Restaurant,Guaynabo,Low,Influential,Fast,Efficient,Inconvenient,Unavailable,Inconvenient,Transportation,https://www.evertecinc.com/
Johnson & Johnson,Fast Food,Guaynabo,High,Reliable,Influential,Compassionate,Unpredictable,Expensive,Noisy,Telecommunications,https://www.gfrmedia.com/
Interstate Batteries,IT Services,Guaynabo,Medium,Organized,Compassionate,Fast,Complicated,Oversaturated,Competitive,Media,https://www.evertecinc.com/
Verizon Puerto Rico,Healthcare,Guaynabo,Low,Caring,Caring,Innovative,Risky,Competitive,Unavailable,Insurance,Null
Johnson & Johnson,Media,Guaynabo,Medium,Friendly,Reliable,Friendly,Inconvenient,Pricy,Restrictive,Food,https://www.claropr.com/
Liberty Puerto Rico,Healthcare,Guaynabo,High,Professional,Influential,Accessible,Competitive,Unsafe,Unavailable,Telecommunications,Null
Liberty Puerto Rico,Industrial Park,Guaynabo,Medium,Stable,Influential,Technologically Advanced,Oversaturated,Overcrowded,Costly,Food,https://www.att.com/
City View Plaza,Telecommunications,Guaynabo,High,Customer-Centric,Professional,Customer-Centric,Pricy,Unavailable,Complicated,Media,Null
Pfizer,Industrial Park,Guaynabo,High,Fast,Convenient,Friendly,Overcrowded,Overcrowded,Expensive,Insurance,Null
Universal Insurance,Telecommunications,Guaynabo,High,Accessible,Caring,Technologically Advanced,Complex,Slow,Unpredictable,Media,https://www.baxter.com/
Unicity Puerto Rico,Restaurant,Guaynabo,Low,Trustworthy,Empathetic,Stable,Noisy,Noisy,Unhygienic,Pharmaceutical,https://www.popular.com/
Claro Puerto Rico,Telecommunications,Guaynabo,Medium,Influential,Technologically Advanced,Convenient,Slow,Confusing,Costly,Insurance,Null
Universal Insurance,Telecommunications,Guaynabo,High,Supportive,Organized,Innovative,Risky,Pricy,Restrictive,Automotive,Null
AT&T Puerto Rico,Insurance,Guaynabo,Medium,Innovative,Trustworthy,Empathetic,Unhygienic,Difficult,Unhygienic,IT,Null
Claro Puerto Rico,Bank,Guaynabo,High,Technologically Advanced,Empathetic,Accessible,Costly,Unhygienic,Overcrowded,Automotive,https://www.popular.com/
Liberty Puerto Rico,Fast Food,Guaynabo,Medium,Connected,Supportive,Organized,Slow,Expensive,Unpredictable,Healthcare,https://www.microsoft.com/
Pfizer,Telecommunications,Guaynabo,Medium,Reliable,Compassionate,Customer-Centric,Unavailable,Inconvenient,Overcrowded,Media,https://www.microsoft.com/
Banco Popular,Telecommunications,Guaynabo,High,Connected,Innovative,Professional,Competitive,Unpredictable,Noisy,Insurance,Null
City View Plaza,Logistics,Guaynabo,High,Empathetic,Customer-Centric,Compassionate,Confusing,Restrictive,Unsafe,Food,https://www.cityviewplaza.com/
Universal Insurance,Bank,Guaynabo,Medium,Fast,Innovative,Empathetic,Slow,Expensive,Oversaturated,Real Estate,Null
