name,type,town,hire_rate,positive_value_1,positive_value_2,positive_value_3,negative_value_1,negative_value_2,negative_value_3,industry,website
Universal Insurance,Pharmaceutical,Guaynabo,Medium,Friendly,Professional,Organized,Complex,Pricy,Overcrowded,Real Estate,Null
Burger King,Restaurant,Guaynabo,Low,Influential,Fast,Efficient,Inconvenient,Unavailable,Inconvenient,Transportation,https://www.evertecinc.com/
Johnson & Johnson,Fast Food,Guaynabo,High,Reliable,Influential,Compassionate,Unpredictable,Expensive,Noisy,Telecommunications,https://www.gfrmedia.com/
Interstate Batteries,IT Services,Guaynabo,Medium,Organized,Compassionate,Fast,Complicated,Oversaturated,Competitive,Media,https://www.evertecinc.com/
Verizon Puerto Rico,Healthcare,Guaynabo,Low,Caring,Caring,Innovative,Risky,Competitive,Unavailable,Insurance,Null
Johnson & Johnson,Media,Guaynabo,Medium,Friendly,Reliable,Friendly,Inconvenient,Pricy,Restrictive,Food,https://www.claropr.com/
Liberty Puerto Rico,Healthcare,Guaynabo,High,Professional,Influential,Accessible,Competitive,Unsafe,Unavailable,Telecommunications,Null
Liberty Puerto Rico,Industrial Park,Guaynabo,Medium,Stable,Influential,Technologically Advanced,Oversaturated,Overcrowded,Costly,Food,https://www.att.com/
City View Plaza,Telecommunications,Guaynabo,High,Customer-Centric,Professional,Customer-Centric,Pricy,Unavailable,Complicated,Media,Null
Pfizer,Industrial Park,Guaynabo,High,Fast,Convenient,Friendly,Overcrowded,Overcrowded,Expensive,Insurance,Null
Universal Insurance,Telecommunications,Guaynabo,High,Accessible,Caring,Technologically Advanced,Complex,Slow,Unpredictable,Media,https://www.baxter.com/
Unicity Puerto Rico,Restaurant,Guaynabo,Low,Trustworthy,Empathetic,Stable,Noisy,Noisy,Unhygienic,Pharmaceutical,https://www.popular.com/
Claro Puerto Rico,Telecommunications,Guaynabo,Medium,Influential,Technologically Advanced,Convenient,Slow,Confusing,Costly,Insurance,Null
Universal Insurance,Telecommunications,Guaynabo,High,Supportive,Organized,Innovative,Risky,Pricy,Restrictive,Automotive,Null
AT&T Puerto Rico,Insurance,Guaynabo,Medium,Innovative,Trustworthy,Empathetic,Unhygienic,Difficult,Unhygienic,IT,Null
Claro Puerto Rico,Bank,Guaynabo,High,Technologically Advanced,Empathetic,Accessible,Costly,Unhygienic,Overcrowded,Automotive,https://www.popular.com/
Liberty Puerto Rico,Fast Food,Guaynabo,Medium,Connected,Supportive,Organized,Slow,Expensive,Unpredictable,Healthcare,https://www.microsoft.com/
Pfizer,Telecommunications,Guaynabo,Medium,Reliable,Compassionate,Customer-Centric,Unavailable,Inconvenient,Overcrowded,Media,https://www.microsoft.com/
Banco Popular,Telecommunications,Guaynabo,High,Connected,Innovative,Professional,Competitive,Unpredictable,Noisy,Insurance,Null
City View Plaza,Logistics,Guaynabo,High,Empathetic,Customer-Centric,Compassionate,Confusing,Restrictive,Unsafe,Food,https://www.cityviewplaza.com/
Universal Insurance,Bank,Guaynabo,Medium,Fast,Innovative,Empathetic,Slow,Expensive,Oversaturated,Real Estate,Null
Company E,Healthcare,Bayamon,High,Convenient,Professional,Trustworthy,Inconvenient,Slow,Complex,Hospitality,Null
Company E,Retail,Ponce,Low,Trustworthy,Innovative,Professional,Noisy,Noisy,Complex,Finance,https://www.example.com
Company B,Finance,Guaynabo,High,Professional,Innovative,Innovative,Complex,Slow,Complex,Retail,https://www.example.com
Company A,Finance,Caguas,Low,Convenient,Innovative,Reliable,Slow,Expensive,Expensive,Technology,Null
Company D,Retail,Ponce,Medium,Trustworthy,Professional,Innovative,Noisy,Slow,Slow,Retail,https://www.example.com
Company A,Finance,Ponce,Low,Trustworthy,Convenient,Reliable,Noisy,Expensive,Expensive,Healthcare,https://www.example.com
Company E,Technology,San Juan,Low,Convenient,Professional,Professional,Inconvenient,Slow,Expensive,Retail,Null
Company E,Retail,Bayamon,Medium,Reliable,Reliable,Reliable,Inconvenient,Inconvenient,Complex,Healthcare,Null
Company E,Retail,San Juan,Low,Reliable,Convenient,Convenient,Slow,Inconvenient,Expensive,Finance,Null
Company A,Restaurant,Ponce,High,Innovative,Convenient,Reliable,Expensive,Inconvenient,Expensive,Retail,https://www.example.com
Company D,Finance,Guaynabo,High,Professional,Trustworthy,Trustworthy,Slow,Noisy,Complex,Finance,https://www.example.com
Company A,Restaurant,San Juan,High,Trustworthy,Innovative,Trustworthy,Complex,Inconvenient,Inconvenient,Technology,https://www.example.com
Company C,Restaurant,Bayamon,High,Innovative,Convenient,Professional,Expensive,Expensive,Noisy,Healthcare,Null
Company B,Technology,Caguas,High,Convenient,Innovative,Trustworthy,Complex,Noisy,Noisy,Healthcare,Null
Company D,Technology,Caguas,Low,Innovative,Reliable,Reliable,Inconvenient,Noisy,Noisy,Retail,Null
Company B,Healthcare,Bayamon,Medium,Reliable,Professional,Trustworthy,Inconvenient,Inconvenient,Slow,Healthcare,https://www.example.com
Company A,Retail,Caguas,Medium,Professional,Reliable,Professional,Complex,Inconvenient,Complex,Technology,Null
Company C,Technology,Guaynabo,Medium,Convenient,Convenient,Reliable,Expensive,Complex,Inconvenient,Finance,https://www.example.com
Company A,Finance,San Juan,Medium,Innovative,Trustworthy,Convenient,Complex,Complex,Slow,Finance,https://www.example.com
Company E,Retail,Bayamon,High,Reliable,Reliable,Convenient,Complex,Complex,Noisy,Retail,Null
Company B,Retail,Ponce,Low,Innovative,Innovative,Convenient,Noisy,Expensive,Slow,Healthcare,Null
Company C,Retail,Guaynabo,Medium,Trustworthy,Trustworthy,Trustworthy,Expensive,Slow,Expensive,Healthcare,Null
Company B,Finance,Guaynabo,Medium,Reliable,Reliable,Professional,Slow,Complex,Complex,Healthcare,Null
Company E,Restaurant,San Juan,Medium,Professional,Reliable,Convenient,Inconvenient,Expensive,Slow,Healthcare,https://www.example.com
Company D,Restaurant,San Juan,Medium,Reliable,Convenient,Convenient,Noisy,Slow,Noisy,Finance,https://www.example.com
Company A,Technology,Ponce,High,Professional,Trustworthy,Innovative,Inconvenient,Expensive,Complex,Technology,Null
Company D,Healthcare,Ponce,Medium,Innovative,Innovative,Reliable,Slow,Slow,Slow,Retail,https://www.example.com
Company A,Retail,San Juan,High,Trustworthy,Convenient,Trustworthy,Complex,Inconvenient,Inconvenient,Technology,https://www.example.com
Company A,Finance,Guaynabo,Low,Trustworthy,Reliable,Convenient,Slow,Noisy,Noisy,Healthcare,Null
Company D,Restaurant,Caguas,High,Trustworthy,Trustworthy,Trustworthy,Slow,Slow,Slow,Retail,https://www.example.com
Company D,Finance,Caguas,High,Convenient,Reliable,Innovative,Complex,Complex,Noisy,Healthcare,Null
Company E,Healthcare,Guaynabo,Low,Convenient,Innovative,Reliable,Expensive,Complex,Slow,Retail,https://www.example.com
Company C,Healthcare,Guaynabo,Medium,Innovative,Trustworthy,Reliable,Slow,Expensive,Expensive,Retail,Null
Company E,Restaurant,San Juan,Medium,Convenient,Professional,Reliable,Complex,Noisy,Complex,Technology,https://www.example.com
Company B,Retail,San Juan,Medium,Trustworthy,Trustworthy,Innovative,Complex,Noisy,Noisy,Technology,https://www.example.com
Company B,Retail,San Juan,Low,Convenient,Convenient,Trustworthy,Slow,Slow,Noisy,Finance,https://www.example.com
Company C,Retail,San Juan,Low,Reliable,Professional,Trustworthy,Expensive,Expensive,Expensive,Healthcare,https://www.example.com
Company C,Technology,Caguas,High,Convenient,Reliable,Convenient,Noisy,Complex,Slow,Retail,https://www.example.com
Company E,Finance,Ponce,Low,Trustworthy,Reliable,Convenient,Noisy,Expensive,Complex,Healthcare,Null
Company A,Finance,Bayamon,High,Trustworthy,Convenient,Convenient,Noisy,Inconvenient,Inconvenient,Technology,Null
Company A,Finance,Bayamon,Medium,Reliable,Convenient,Innovative,Noisy,Slow,Expensive,Technology,https://www.example.com
Company D,Finance,San Juan,Medium,Convenient,Innovative,Trustworthy,Complex,Expensive,Expensive,Technology,https://www.example.com
Company E,Finance,Guaynabo,Medium,Convenient,Reliable,Reliable,Slow,Slow,Expensive,Healthcare,https://www.example.com
Company E,Healthcare,Caguas,Low,Innovative,Trustworthy,Convenient,Expensive,Complex,Complex,Healthcare,Null
Company D,Finance,San Juan,Low,Reliable,Convenient,Trustworthy,Complex,Slow,Inconvenient,Hospitality,https://www.example.com
Company B,Retail,Guaynabo,High,Trustworthy,Innovative,Innovative,Slow,Complex,Slow,Finance,https://www.example.com
Company A,Restaurant,Bayamon,Low,Convenient,Trustworthy,Professional,Inconvenient,Inconvenient,Expensive,Retail,https://www.example.com
Company C,Restaurant,Caguas,High,Convenient,Reliable,Trustworthy,Expensive,Expensive,Expensive,Technology,Null
Company C,Retail,Ponce,High,Convenient,Convenient,Reliable,Slow,Expensive,Noisy,Healthcare,Null
Company D,Technology,Guaynabo,Medium,Reliable,Trustworthy,Convenient,Expensive,Complex,Complex,Technology,https://www.example.com
Company E,Healthcare,Bayamon,High,Trustworthy,Professional,Convenient,Inconvenient,Expensive,Noisy,Healthcare,https://www.example.com
Company A,Healthcare,San Juan,High,Reliable,Innovative,Trustworthy,Noisy,Inconvenient,Complex,Technology,Null
Company E,Finance,Ponce,Low,Convenient,Convenient,Convenient,Complex,Expensive,Expensive,Retail,https://www.example.com
Company B,Technology,Guaynabo,Medium,Convenient,Innovative,Trustworthy,Inconvenient,Slow,Complex,Healthcare,Null
Company E,Retail,San Juan,Medium,Reliable,Innovative,Professional,Noisy,Complex,Slow,Finance,https://www.example.com
Company E,Retail,Ponce,Low,Reliable,Convenient,Convenient,Inconvenient,Expensive,Expensive,Healthcare,https://www.example.com
Company C,Finance,Caguas,Low,Innovative,Trustworthy,Innovative,Slow,Complex,Inconvenient,Finance,Null
Company E,Finance,Guaynabo,Low,Trustworthy,Convenient,Trustworthy,Complex,Expensive,Expensive,Technology,https://www.example.com
Company B,Finance,Ponce,High,Innovative,Convenient,Convenient,Inconvenient,Complex,Slow,Retail,https://www.example.com
Company C,Restaurant,Bayamon,Low,Innovative,Trustworthy,Innovative,Noisy,Complex,Inconvenient,Finance,https://www.example.com
Company B,Technology,Bayamon,Medium,Convenient,Innovative,Professional,Noisy,Expensive,Complex,Hospitality,Null
Company B,Retail,Ponce,High,Innovative,Professional,Professional,Expensive,Slow,Complex,Healthcare,https://www.example.com
Company C,Technology,Ponce,High,Reliable,Professional,Reliable,Slow,Complex,Inconvenient,Hospitality,Null
Company D,Retail,Bayamon,Low,Convenient,Professional,Reliable,Complex,Complex,Inconvenient,Hospitality,https://www.example.com
Company C,Restaurant,Guaynabo,Low,Innovative,Convenient,Innovative,Expensive,Expensive,Slow,Finance,Null
Company C,Finance,Guaynabo,High,Convenient,Professional,Reliable,Noisy,Complex,Slow,Technology,https://www.example.com
Company E,Healthcare,San Juan,Low,Innovative,Convenient,Professional,Expensive,Slow,Inconvenient,Hospitality,Null
Company E,Healthcare,Guaynabo,Medium,Professional,Reliable,Reliable,Noisy,Noisy,Slow,Finance,Null
Company B,Healthcare,Ponce,High,Professional,Convenient,Reliable,Complex,Complex,Slow,Technology,Null
Company C,Restaurant,Bayamon,High,Reliable,Professional,Trustworthy,Inconvenient,Noisy,Noisy,Finance,https://www.example.com
Company E,Finance,Ponce,Low,Trustworthy,Reliable,Innovative,Expensive,Noisy,Noisy,Finance,Null
Company E,Healthcare,San Juan,High,Professional,Trustworthy,Professional,Inconvenient,Complex,Complex,Hospitality,https://www.example.com
Company B,Healthcare,San Juan,Medium,Innovative,Convenient,Convenient,Expensive,Inconvenient,Noisy,Retail,Null
Company B,Finance,San Juan,Medium,Innovative,Trustworthy,Professional,Slow,Complex,Expensive,Hospitality,https://www.example.com
Company B,Restaurant,San Juan,Low,Trustworthy,Professional,Innovative,Slow,Slow,Noisy,Finance,Null
Company E,Retail,San Juan,Low,Professional,Reliable,Reliable,Complex,Inconvenient,Slow,Technology,Null
Company B,Technology,Caguas,Low,Reliable,Professional,Innovative,Slow,Expensive,Noisy,Technology,Null
Company A,Finance,Caguas,Medium,Professional,Trustworthy,Innovative,Slow,Noisy,Inconvenient,Retail,https://www.example.com
Company B,Restaurant,Guaynabo,High,Innovative,Convenient,Trustworthy,Slow,Inconvenient,Noisy,Hospitality,https://www.example.com
Company A,Retail,Ponce,Low,Reliable,Convenient,Professional,Slow,Noisy,Slow,Healthcare,https://www.example.com
Company C,Restaurant,Caguas,Medium,Professional,Trustworthy,Trustworthy,Slow,Slow,Inconvenient,Technology,https://www.example.com
Company C,Finance,Ponce,High,Trustworthy,Convenient,Professional,Expensive,Expensive,Expensive,Retail,Null
Company E,Technology,Guaynabo,Medium,Reliable,Innovative,Professional,Noisy,Noisy,Expensive,Hospitality,https://www.example.com
Company E,Healthcare,Bayamon,Low,Professional,Trustworthy,Trustworthy,Expensive,Slow,Inconvenient,Technology,https://www.example.com
Company C,Finance,Caguas,Medium,Convenient,Professional,Convenient,Slow,Expensive,Noisy,Finance,https://www.example.com
Company E,Retail,Guaynabo,High,Professional,Innovative,Reliable,Expensive,Noisy,Noisy,Healthcare,Null
Company D,Restaurant,Guaynabo,Medium,Innovative,Professional,Innovative,Inconvenient,Complex,Inconvenient,Technology,Null
Company D,Finance,Ponce,Low,Innovative,Reliable,Trustworthy,Noisy,Slow,Noisy,Healthcare,https://www.example.com
Company B,Retail,San Juan,Medium,Reliable,Convenient,Trustworthy,Slow,Expensive,Slow,Healthcare,https://www.example.com
Company C,Healthcare,Caguas,Low,Trustworthy,Reliable,Reliable,Slow,Noisy,Complex,Finance,Null
Company C,Healthcare,Ponce,High,Trustworthy,Trustworthy,Reliable,Slow,Expensive,Complex,Retail,Null
Company E,Restaurant,Ponce,Low,Professional,Professional,Reliable,Slow,Slow,Complex,Healthcare,https://www.example.com
Company A,Retail,Guaynabo,Medium,Professional,Innovative,Innovative,Slow,Expensive,Complex,Technology,Null
Company C,Healthcare,Ponce,Medium,Convenient,Innovative,Convenient,Inconvenient,Inconvenient,Complex,Finance,Null
Company B,Restaurant,Bayamon,Medium,Innovative,Convenient,Innovative,Expensive,Expensive,Expensive,Retail,https://www.example.com
Company D,Retail,Ponce,Medium,Innovative,Convenient,Convenient,Expensive,Noisy,Noisy,Healthcare,https://www.example.com
Company A,Restaurant,Bayamon,Medium,Innovative,Reliable,Convenient,Complex,Expensive,Slow,Hospitality,https://www.example.com
Company E,Finance,San Juan,High,Reliable,Innovative,Professional,Inconvenient,Noisy,Complex,Technology,https://www.example.com
Company A,Finance,Ponce,High,Trustworthy,Reliable,Reliable,Inconvenient,Complex,Inconvenient,Retail,Null
Company C,Restaurant,San Juan,Medium,Trustworthy,Reliable,Innovative,Inconvenient,Inconvenient,Slow,Finance,https://www.example.com
Company C,Finance,Ponce,Medium,Convenient,Innovative,Convenient,Noisy,Slow,Complex,Finance,https://www.example.com
Company B,Technology,Caguas,Medium,Innovative,Trustworthy,Convenient,Expensive,Slow,Slow,Healthcare,https://www.example.com
Company A,Healthcare,Ponce,Low,Trustworthy,Innovative,Trustworthy,Noisy,Noisy,Noisy,Hospitality,Null
Company D,Technology,Guaynabo,High,Professional,Innovative,Professional,Expensive,Complex,Complex,Hospitality,Null
Company D,Finance,Guaynabo,Medium,Trustworthy,Trustworthy,Reliable,Expensive,Expensive,Complex,Healthcare,https://www.example.com
Company E,Retail,Ponce,Medium,Reliable,Innovative,Professional,Noisy,Complex,Noisy,Technology,https://www.example.com
Company C,Retail,Caguas,Medium,Professional,Convenient,Reliable,Inconvenient,Inconvenient,Inconvenient,Technology,https://www.example.com
Company E,Restaurant,Ponce,High,Professional,Convenient,Trustworthy,Expensive,Slow,Slow,Healthcare,Null
Company C,Restaurant,Guaynabo,High,Convenient,Professional,Professional,Slow,Expensive,Inconvenient,Technology,Null
Company D,Healthcare,Bayamon,Low,Innovative,Reliable,Professional,Inconvenient,Slow,Noisy,Healthcare,https://www.example.com
Company B,Restaurant,Ponce,High,Convenient,Convenient,Reliable,Inconvenient,Noisy,Complex,Technology,https://www.example.com
Company C,Retail,Caguas,Low,Professional,Convenient,Professional,Slow,Slow,Expensive,Retail,Null
Company C,Finance,Guaynabo,High,Reliable,Trustworthy,Reliable,Complex,Noisy,Complex,Retail,https://www.example.com
Company D,Retail,Ponce,High,Innovative,Professional,Innovative,Slow,Noisy,Inconvenient,Hospitality,https://www.example.com
Company E,Technology,Ponce,High,Trustworthy,Reliable,Convenient,Slow,Expensive,Noisy,Technology,Null
Company E,Finance,Ponce,High,Convenient,Reliable,Reliable,Expensive,Slow,Slow,Healthcare,https://www.example.com
Company B,Restaurant,Bayamon,High,Innovative,Reliable,Innovative,Slow,Expensive,Slow,Technology,https://www.example.com
